Season,Name,Team,Age,playerid,Pos_Cat
2022,Mark Mathias,- - -,27,18032,DH
1992,Jim Leyritz,NYY,28,1007590,DH
2005,Jay Gibbons,BAL,28,141,DH
1987,Pat Tabler,CLE,29,1012806,DH
2006,Tim Salmon,LAA,37,32,DH
2021,Josh Donaldson,MIN,35,5038,DH
2011,Billy Butler,KCR,25,7399,DH
1983,Ted Simmons,MIL,33,1011986,DH
2019,Shohei Ohtani,LAA,24,19755,DH
2016,Kennys Vargas,MIN,25,12101,DH
2003,Marty Cordova,BAL,33,132,DH
2022,George Springer,TOR,32,12856,DH
1995,Geronimo Berroa,OAK,30,1000900,DH
2005,Lenny Harris,FLA,40,1394,DH
2001,Mario Valdez,OAK,26,1013314,DH
1986,Mike Easler,NYY,35,1003635,DH
2021,Gavin Sheets,CHW,25,19901,DH
1986,Reggie Jackson,CAL,40,1006308,DH
2012,Chris Davis,BAL,26,9272,DH
2020,Derek Dietrich,TEX,30,10542,DH
2005,Franklin Gutierrez,CLE,22,3255,DH
2020,Mark Canha,OAK,31,11445,DH
1981,Bob Molinaro,CHW,31,1009039,DH
2000,Scott Hatteberg,BOS,30,916,DH
